Frecuencia,Modulo,Fase,Modulo (dB)
10,1.35E+04,-7.8,8.26E+01
15,1.35E+04,-11,8.26E+01
20,1.31E+04,-14.9,8.23E+01
30,1.21E+04,-20.8,8.17E+01
35,1.15E+04,-22.2,8.12E+01
40,1.10E+04,-24,8.08E+01
50,1.03E+04,-25.4,8.03E+01
60,9.32E+03,-26.8,7.94E+01
70,8.70E+03,-26.9,7.88E+01
90,7.80E+03,-25.9,7.78E+01
100,7.39E+03,-25,7.74E+01
150,6.58E+03,-21.2,7.64E+01
200,6.08E+03,-17.4,7.57E+01
250,5.87E+03,-14.6,7.54E+01
300,5.75E+03,-12.7,7.52E+01
400,5.61E+03,-9.5,7.50E+01
500,5.53E+03,-7.8,7.49E+01
600,5.50E+03,-6.7,7.48E+01
700,5.48E+03,-5.7,7.48E+01
900,5.46E+03,-4.5,7.47E+01
1.00E+03,5.44E+03,-4.1,7.47E+01
1.50E+03,5.40E+03,-2.8,7.46E+01
2.00E+03,5.40E+03,-2.2,7.46E+01
3.00E+03,5.40E+03,-1.5,7.46E+01
4.00E+03,5.40E+03,-1.1,7.46E+01
5.00E+03,5.40E+03,-0.9,7.46E+01
6.00E+03,5.39E+03,-0.8,7.46E+01
7.00E+03,5.40E+03,-0.6,7.46E+01
9.00E+03,5.40E+03,-0.5,7.46E+01
1.00E+04,5.40E+03,-0.5,7.46E+01
1.50E+04,5.39E+03,-0.4,7.46E+01
2.00E+04,5.40E+03,-0.6,7.46E+01
5.00E+04,5.40E+03,-0.9,7.46E+01
8.00E+04,5.39E+03,-1.3,7.46E+01
1.00E+05,5.38E+03,-1.6,7.46E+01
