10,1.0111,0
11.233,1.0091,0
12.619,1.0101,0
14.175,1.0091,0
15.923,1.0101,0
17.886,1.0091,0
20.092,1.0101,0
22.57,1.0091,0
25.354,1.0101,0
28.48,1.0091,0
31.993,1.0101,0
35.938,1.0091,0
40.37,1.0101,0
45.349,1.0101,0
50.941,1.004,0
57.224,1.0101,0
64.281,1.0081,-1
72.208,1.0091,-1
81.113,1.0091,-1
91.116,1.0091,-1
102.35,1.0101,-1
114.98,1.0101,-1
129.15,1.0091,-1
145.08,1.0081,-1
162.98,1.0101,-2
183.07,1.0091,-2
205.65,1.0091,-2
231.01,1.0081,-3
259.5,1.0071,-3
291.51,1.0081,-3
327.45,1.0092,-4
367.84,1.0071,-4
413.2,1.0051,-4
464.16,1.0071,-4
521.4,1.0051,-4
585.7,1.0051,-6
657.93,1.0031,-6
739.07,1.002,-6
830.22,1.001,-7
932.6,0.99797,-8
1047.6,0.99289,-9
1176.8,0.99188,-10
1321.9,0.98682,-12
1485,0.98073,-13
1668.1,0.97262,-14
1873.8,0.96653,-17
2104.9,0.95233,-18
2364.5,0.94309,-20
2656.1,0.92175,-22
2983.6,0.90132,-29
3351.6,0.87658,-27
3764.9,0.84878,-30
4229.2,0.89572,-36.518
4750.8,0.98674,-41.327
5336.7,0.85745,-45.632
5994.8,0.8246,-49.729
6734.2,0.79009,-54.654
7564.6,0.74784,-60.343
8497.5,0.68412,-65.432
9545.5,0.64312,-72.034
10723,0.59078,-79.011
12045,0.56461,-81.79
13530,0.47445,-88.59
15199,0.46653,-94.767
17074,0.37005,-106.24
19179,0.3688,-102.71
21544,0.26859,-115.12
24201,0.25559,-120.96
27186,0.21525,-121.98
30539,0.12019,-123.94
34305,0.10821,-130.11
38535,0.080024,-143
43288,0.066309,-136.58
48626,0.05172,-154
54623,0.043929,-149.559
68926,0.028998,-140.54
77426,0.02788,-107.35
86975,0.019088,-40
97701,0.050168,-25
1.0975e+05,0.054614,-27
1.2328e+05,0.050273,-29
1.3849e+05,0.046273,-32
1.5557e+05,0.04298,-36
1.7475e+05,0.036176,-40
1.963e+05,0.032308,-35
2.2051e+05,0.029723,-45.012
2.4771e+05,0.026423,-48.029
2.7826e+05,0.0262799,-46
3.1257e+05,0.0246868,-48.58
3.5112e+05,0.024535,-39.567
3.9442e+05,0.023016,-52
4.4306e+05,0.0226501,-56
4.977e+05,0.0217554,-58
5.5908e+05,0.021435,-65.655
6.2803e+05,0.02035,-60
7.0548e+05,0.019141,-59.43
7.9248e+05,0.017901,-63
8.9022e+05,0.015456,-70
1e+06,0.01472,-66
