10,12.32,3.67
12.068,12.7,2.26
14.563,12.5,1.6
17.575,12.46,1.41
21.21,12.5,1.6
25.595,12.81,1.15
30.888,12.56,2.13
37.276,12.49,1.36
44.984,12.66,1.17
54.287,12.78,1.02
65.513,12.8,1.08
79.06,12.86,1.22
95.41,12.9,1.02
115.14,13.02,1.48
138.95,13.01,1.06
167.68,13.1,1.3
202.36,13.04,1.42
244.21,13.04,1.67
294.71,13.07,2.17
355.65,13.09,2.7
429.19,13.13,3.1
450,12.93,3.13
500,13.12,3.63
517.95,13.1,3.7
550,13.13,4.16
575,13.12,4.38
625.06,13.13,4.7
650,13.16,5.38
700,13.18,5.27
754.31,13.14,5.9
800,13.11,6.2
850,13.14,6.95
900,13.2,7.5
910,13.17,7.6
950,13.2,7.8
975,13.21,8.26
1000,13.2,8.71
1050,13.24,9.22
1098.5,13.22,9.98
1325.7,13.4,13
1400,13.7,16.15
1425,13.73,16.52
1450,13.8,13.4
1500,13.9,19
1525,14,20
1550,14.03,21
1575,14.19,21.9
1599.9,14.4,23
1625,14.5,24.15
1650,14.6,25.5
1675,14.8,26.6
1700,15,28.11
1725,15.25,29.7
1750,15.5,31.3
1775,15.8,33.14
1800,16.3,35
1850,17.4,39.5
1875,18.16,42
1900,19.2,44.7
1930.7,20.87,48.3
1950,22.05,50.6
1975,24.38,53.83
2000,27.4,57.6
2025,32.15,60.9
2050,39.6,64.1
2075,51.4,66.4
2100,75.6,66.55
2110,95,65
2120,121,61.3
2130,180,52.8
2140,270,30
2141,266,26.9
2142,275,22.3
2143,293,16.6
2144,308,15.4
2145,299,8.3
2146,308,8.44
2147,310,2.45
2148,318,-1.4
2149,302,-6.44
2150,299,-12.44
2151,297,-13.38
2152,294,-20.3
2153,283,-24.75
2154,265,-26.6
2155,258,-29.5
2156,256,-33.9
2157,242,-36.25
2158,230,-38.16
2159,224,-41.25
2160,214,-42.8
2161,203,-44.6
2162,203,-47.9
2163,192,-49.6
2164,179,-51.6
2165,180,-52.7
2166,170,-53.2
2167,166,-54.9
2168,158,-55.2
2169,150,-56.6
2170,148,-57.15
2171,142,-57.2
2175,124,-60
2200,72,-66
2250,38,-63.4
2300,28.3,-57.5
2330,24.9,-53.8
2400,20.4,-46.8
2450,18.5,-42.4
2475,17.8,-40.5
2500,17.3,-38.9
2600,15.8,-32.5
2700,15.08,-28.4
2811.8,14.5,-24.6
3393.2,13.59,-14.88
4094.9,13.3,-10.3
4941.7,13.22,-7.88
5963.6,13.3,-6.03
7196.9,13.1,-4.88
8685.1,13.11,-3.96
10481,13.05,-3.43
12649,13.02,-2.75
15264,13.05,-2.37
18421,12.96,-1.5
22230,12.99,-1.9
26827,12.96,-1.63
32375,12.94,-1.4
39069,13.05,-1.58
47149,13.1,-1.8
56899,13.1,-1.92
68665,13.1,-2.04
82864,13.1,-2.4
1e+05,13.1,-2.8
