f,mag_dB,phase,vin
10,-53.6,89,20
12.068,-52.1,89.3,20
14.563,-50.5,90,20
17.575,-48.9,90,20
21.21,-46,90,20
25.595,-44.3,90,20
30.888,-44.2,91,20
37.276,-41.6,89.7,20
44.984,-39.5,90,20
54.287,-36.2,90,20
65.513,-38.6,90.4,20
79.06,-34.6,90.4,20
95.41,-33,88.9,20
115.14,-31.5,88.9,20
138.95,-29.6,87.95,20
167.68,-28,89,20
202.36,-26.3,89.7,20
244.21,-24.7,87.9,20
294.71,-23.2,87,20
355.65,-21.2,87,20
429.19,-19.5,87.02,20
517.95,-17.7,86.82,20
625.06,-15.9,84.1,20
754.31,-13.9,83.79,20
910.3,-11.7,82.15,20
1000,-10.5,81,20
1128.8,-8.8,79.1,20
1274.3,-6.9,76.3,20
1438.4,-4.6,72.75,20
1500,-3.7,70,20
1525,-3.3,69.9,15
1550,-2.9,68,15
1575,-2.6,67,15
1600,-2.2,66,15
1623.8,-1.7,65.8,15
1650,-1.4,65,15
1675,-0.9,63.6,10
1700,-0.5,60.9,10
1725,-0.1,60,10
1800,1.2,54,10
1825,1.7,51.3,10
1850,2.1,49,10
1875,2.5,46,10
1900,3,42.9,10
1925,3.4,39.3,10
1950,3.8,36.2,10
1975,4.2,32.98,10
2000,4.6,28.7,10
2025,4.9,23.4,0
2050,5.2,19,0
2069.1,5.4,17,10
2075,5.4,13,10
2100,5.5,8.89,10
2110,5.6,7.3,10
2120,5.6,5,10
2125,5.6,4,10
2130,5.62,3.17,10
2135,5.64,2.02,10
2140,5.68,1.7,10
2141,5.7,1.21,10
2142,5.68,1.07,10
2143,5.67,1,10
2144,5.7,0.67,10
2145,5.67,0.2,10
2146,5.7,0.05,10
2147,5.7,-0.08,10
2148,5.7,-0.45,10
2149,5.69,-0.87,10
2150,5.69,-0.96,10
2151,5.69,-1.1,10
2152,5.67,-1.5,10
2153,5.63,-1.9,10
2154,5.68,-1.97,10
2155,5.69,-2,10
2156,5.69,-2,10
2160,5.6,-2.7,10
2165,5.6,-3.9,10
2170,5.6,-4.98,10
2175,5.6,-5.45,10
2180,5.6,-6.8,10
2200,5.5,-10,10
2250,5.1,-19,10
2275,4.9,-23,10
2280,4.8,-24.9,10
2290,4.7,-26,10
2300,4.6,-27,10
2325,4.3,-31,10
2350,4,-34.7,10
2375,3.69,-37.7,10
2400,3.3,-40.9,10
2425,3,-43.5,10
2450,2.6,-45.1,10
2475,2.3,-47.2,10
2500,2,-49,10
2575,1,-54,10
2600,0.7,-55.5,15
2625,0.4,-57.1,15
2650,0.1,-57.6,15
2675,-0.1,-59,15
2700,-0.4,-60,15
2725,-0.7,-61.56,15
2750,-0.9,-61.6,15
2800,-1.4,-63.9,15
2825,-1.7,-64.5,15
2850,-1.9,-66,15
2875,-2.1,-66,15
2900,-2.4,-66.8,15
2925,-2.6,-66.8,15
2950,-2.8,-67.9,15
2975,-3,-68.9,15
3000,-3.2,-69,15
3100,-3.9,-70.7,15
3200,-4.6,-72.8,15
3300,-5.2,-74.1,15
3500,-6.3,-76,15
3700,-7.3,-78,15
4261.7,-9.4,-79.7,20
4888.4,-11.3,-81.4,20
5607.3,-12.9,-83.5,20
6431.8,-14.4,-83.6,20
7377.6,-15.8,-84.5,20
8462.5,-17.2,-85,20
9707,-18.6,-86.7,20
11134,-19.8,-86.8,20
12772,-21.1,-88.9,20
14650,-22.3,-88.3,20
16804,-23.5,-88.4,20
19275,-24.8,-89.3,20
22110,-26,-89.2,20
25361,-27.2,-89.6,20
29090,-28.3,-89.8,20
33368,-29.5,-86.7,20
38275,-30.7,-90,20
43904,-31.9,-90,20
50360,-33.1,-89.9,20
57765,-34.2,-92,20
66260,-35.3,-91,20
76003,-36.5,-93,20
